City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,77.83,77,100,20.04,light rain
1,Atuona,PF,-9.8,-139.0333,78.31,73,21,17.69,few clouds
2,Vanimo,PG,-2.6741,141.3028,77.45,88,100,7.18,heavy intensity rain
3,Pevek,RU,69.7008,170.3133,-3.44,95,100,2.15,overcast clouds
4,Sumbawanga,TZ,-7.9667,31.6167,70.52,67,56,4.63,light rain
5,Rocha,UY,-34.4833,-54.3333,83.34,34,5,15.21,clear sky
6,Castro,BR,-24.7911,-50.0119,69.17,64,95,6.26,overcast clouds
7,Upernavik,GL,72.7868,-56.1549,6.06,95,100,4.32,light snow
8,Nioro,GM,13.35,-15.75,95.5,9,6,5.99,clear sky
9,Khatanga,RU,71.9667,102.5,-9.22,77,99,11.83,overcast clouds
10,Tasiilaq,GL,65.6145,-37.6368,32.16,77,100,7.38,overcast clouds
11,Mahebourg,MU,-20.4081,57.7,80.26,94,75,3.44,light rain
12,Mataura,NZ,-46.1927,168.8643,56.48,72,90,5.75,overcast clouds
13,Iqaluit,CA,63.7506,-68.5145,-16.31,68,75,8.99,broken clouds
14,Saskylakh,RU,71.9167,114.0833,-28.53,97,6,8.75,clear sky
15,Puerto Ayora,EC,-0.7393,-90.3518,75.16,76,43,7.49,scattered clouds
16,Namibe,AO,-15.1961,12.1522,75.24,62,81,12.28,broken clouds
17,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,94,100,5.75,moderate rain
18,Albany,US,42.6001,-73.9662,17.74,68,3,1.01,clear sky
19,Ixtapa,MX,20.7,-105.2,67.23,88,40,2.3,scattered clouds
20,Omidiyeh,IR,30.7597,49.705,64.27,59,0,0.0,clear sky
21,Springdale,US,36.1867,-94.1288,41.11,87,100,8.01,overcast clouds
22,Gat,IL,31.61,34.7642,66.78,100,0,2.59,clear sky
23,Hobart,AU,-42.8794,147.3294,55.26,82,100,5.75,overcast clouds
24,Busselton,AU,-33.65,115.3333,63.09,62,52,17.43,broken clouds
25,Kodiak,US,57.79,-152.4072,32.2,69,100,19.15,light snow
26,Port Alfred,ZA,-33.5906,26.891,76.53,80,34,23.78,scattered clouds
27,San Patricio,US,28.017,-97.5169,57.88,90,87,3.47,overcast clouds
28,Northam,GB,51.0333,-4.2167,46.42,84,100,26.82,moderate rain
29,Airai,TL,-8.9266,125.4092,61.56,91,100,1.63,overcast clouds
30,Mount Isa,AU,-20.7333,139.5,71.37,23,0,0.0,clear sky
31,Angoram,PG,-4.0625,144.0661,74.5,98,100,2.75,moderate rain
32,Bluff,NZ,-46.6,168.3333,56.8,78,100,8.14,overcast clouds
33,Half Moon Bay,US,37.4636,-122.4286,50.52,94,75,5.75,broken clouds
34,Cidreira,BR,-30.1811,-50.2056,74.17,60,73,16.82,broken clouds
35,Mudanya,TR,40.3753,28.8822,54.45,79,100,3.04,overcast clouds
36,Ushuaia,AR,-54.8,-68.3,55.02,66,75,34.52,light intensity drizzle
37,Pisco,PE,-13.7,-76.2167,72.01,83,100,8.05,mist
38,Klaksvik,FO,62.2266,-6.589,40.12,95,100,28.03,overcast clouds
39,Iwaki,JP,37.05,140.8833,36.05,63,4,6.04,clear sky
40,Kapaa,US,22.0752,-159.319,71.58,84,0,1.01,clear sky
41,Chuy,UY,-33.6971,-53.4616,78.53,44,34,14.99,scattered clouds
42,Vaini,TO,-21.2,-175.2,75.36,94,100,0.0,overcast clouds
43,Camana,PE,-16.6228,-72.7111,74.77,74,74,6.35,broken clouds
44,Aklavik,CA,68.2191,-135.0107,-11.2,77,100,18.41,light snow
45,Zhicheng,CN,30.2956,111.5047,43.63,72,86,1.41,overcast clouds
46,Hermanus,ZA,-34.4187,19.2345,84.79,55,0,17.94,clear sky
47,Mpanda,TZ,-6.3655,31.0409,77.83,69,70,1.25,broken clouds
48,Tiksi,RU,71.6872,128.8694,-19.79,99,100,5.82,overcast clouds
49,Faanui,PF,-16.4833,-151.75,80.83,77,21,8.03,few clouds
50,Norman Wells,CA,65.282,-126.8329,-7.56,71,100,8.05,light snow
51,Port-Gentil,GA,-0.7193,8.7815,85.96,74,40,12.66,scattered clouds
52,Jamestown,US,42.097,-79.2353,18.52,63,0,3.0,clear sky
53,Hilo,US,19.7297,-155.09,67.73,77,0,4.61,clear sky
